id,question,choiceA,choiceB,choiceC,choiceD,answer,feedback
1,"setup() 在 p5.js 中會在何時執行？","每一幀都執行","只執行一次（程式初始化時）","每次滑鼠點擊時執行","只有在 resize 時執行","B","setup() 只在程式啟動時執行一次，用來建立 canvas 與初始化變數。"
2,"draw() 的主要用途是？","只在初始化時執行一次","每一幀連續執行以更新畫面","只在滑鼠移動時執行","僅用於載入資源","B","draw() 在預設情況下每一幀都會執行，常用來持續更新動畫或互動。"
3,"createCanvas() 通常放在哪個函式內？","preload()","setup()","draw()","任何函式皆可","B","createCanvas() 通常放在 setup() 內，用以建立繪圖區域。"
4,"mouseX 在 p5.js 中表示什麼？","滑鼠是否被按下","滑鼠的 x 座標（相對於 canvas）","滑鼠移動的速度","滑鼠的按鍵編號","B","mouseX 與 mouseY 分別表示滑鼠在 canvas 上的 x、y 座標。"
5,"呼叫 noLoop() 會發生什麼事？","停止 draw() 的重複呼叫，使畫面停止更新","清除畫布內容","重設所有變數為初始值","加速 frameRate()","A","noLoop() 會停止 draw() 的迴圈，畫面不再自動更新，除非呼叫 loop()。"
6,"frameRate(30) 的作用是？","設定文字大小為 30","設定每秒幀數為 30","設定畫布寬度為 30","設定隨機數的上限為 30","B","frameRate(n) 用來設定每秒繪製幀數（FPS）。"
7,"stroke() 在 p5.js 中用來做什麼？","設定形狀的填色","設定形狀的外框（邊線）顏色","設定文字字型","清除畫布","B","stroke() 設定形狀或線條的邊線顏色；fill() 則用於填充內部。"
8,"preload() 的主要用途是？","每一幀都執行初始化","在程式開始前同步載入資源（如影像、聲音）","用於顯示結果畫面","取代 setup() 的功能","B","preload() 用於在程式啟動前載入外部資源，確保資源可用後才進行 setup()。"
9,"image(img, x, y) 在 p5.js 中用於？","畫矩形","顯示影像（image）","設定字型","改變座標系統","B","image() 用來在畫布上顯示事先載入的影像物件。"
10,"rectMode(CENTER) 會改變什麼行為？","將矩形的定位原點改為中心點","改變矩形的顏色","讓矩形自動旋轉","啟用矩形的圓角效果","A","rectMode(CENTER) 使 rect(x,y,w,h) 的 x,y 以矩形中心為基準。"
11,"random(10, 20) 回傳什麼類型的值？","介於 0 到 1 的數值","整數 10 到 20（含）","介於 10 到 20 的浮點數","回傳陣列","C","random(a,b) 傳回介於 a 與 b 之間的浮點數（含 a，接近但通常不含 b）。若需整數可用 floor() 或 int()。"
12,"createButton('OK') 回傳的是什麼？","p5 的 DOM 元素（p5.Element）","單純的字串 'button'","Canvas 元素","沒有回傳值","A","createButton 會回傳一個 p5.Element，可以呼叫 .mousePressed() 等方法設定事件。"